"Brnd_Name","Year","Tot_Spndng"
Annovera,"2024 (Q1-Q4)",90025.08
Annovera,"2025 (Q1-Q3)",95419.77
Anoro Ellipta,"2024 (Q1-Q4)",819257984
Anoro Ellipta,"2025 (Q1-Q3)",596422400
Anusol-HC,"2024 (Q1-Q4)",25309.09
Anusol-HC,"2025 (Q1-Q3)",20154.84
Anzupgo,"2025 (Q1-Q3)",101489.0
Apexicon E,"2024 (Q1-Q4)",30237.2
Apidra,"2024 (Q1-Q4)",735198.06
Apidra,"2025 (Q1-Q3)",507506.84
Apidra Solostar,"2024 (Q1-Q4)",2296756.2
Apidra Solostar,"2025 (Q1-Q3)",1581356.9
Aplenzin,"2024 (Q1-Q4)",23520882
Aplenzin,"2025 (Q1-Q3)",18956900
Apokyn,"2024 (Q1-Q4)",70388816
Apokyn,"2025 (Q1-Q3)",40121448
Apomorphine HCl,"2024 (Q1-Q4)",191346.56
Apomorphine HCl,"2025 (Q1-Q3)",349639.12
Apraclonidine HCl,"2024 (Q1-Q4)",336886.62
Apraclonidine HCl,"2025 (Q1-Q3)",271560.38
Aprepitant,"2024 (Q1-Q4)",8059237.5
Aprepitant,"2025 (Q1-Q3)",6298740.5
Apretude,"2024 (Q1-Q4)",12823732
Apri,"2024 (Q1-Q4)",135038.48
Apri,"2025 (Q1-Q3)",108092.64
Apriso,"2024 (Q1-Q4)",5242802.5
Apriso,"2025 (Q1-Q3)",17715380
Aptensio XR,"2024 (Q1-Q4)",48102.07
Aptensio XR,"2025 (Q1-Q3)",13046.62
Aptiom,"2024 (Q1-Q4)",144071376
Aptiom,"2025 (Q1-Q3)",80778832
Aptivus,"2024 (Q1-Q4)",1056009.5
Aptivus,"2025 (Q1-Q3)",651584.94
Aqneursa,"2025 (Q1-Q3)",8034810.5
Aralast NP,"2024 (Q1-Q4)",35563936
Aralast NP,"2025 (Q1-Q3)",26474328
Aranelle,"2024 (Q1-Q4)",17719.19
Aranelle,"2025 (Q1-Q3)",11189.74
Aranesp,"2024 (Q1-Q4)",62541380
Aranesp,"2025 (Q1-Q3)",55095212
Arava,"2024 (Q1-Q4)",914198.4
Arava,"2025 (Q1-Q3)",646076.94
Arazlo,"2024 (Q1-Q4)",352260.5
Arazlo,"2025 (Q1-Q3)",218563.31
Arcalyst,"2024 (Q1-Q4)",53189124
Arcalyst,"2025 (Q1-Q3)",128739120
